candelilla/jojoba/rice bran polyglyceryl-3 esters,Best,"A natural mixture of polyglycerin-3, candelilla wax, jojoba seed wax, and rice bran wax..."
candelilla wax,Good,Extract derived from candelilla plants; used as a thickening agent and emollient to give products...
Cannabis sativa L. oil,Good,
canola oil,Best,Plant lipid that has skin restoring and soothing properties…
caprooyl phytosphingosine,Best,A mixture of fatty acids caproic acid and phytosphingosine.
caprooyl sphingosine,Best,A mixture of fatty acids caproic acid and sphingosine.
caprooyl tetrapeptide-3,Best, 'A synthetic or plant-derived signal peptide that’s said to help to boost the...
caprylic/capric triglyceride,Best,"Derived from coconut oil and glycerin, it’s considered an excellent emollient and skin-replenishing ingredient."
capryloyl glycerin/sebacic acid copolymer,Good,A naturally-derived (coconut and castor oil) or synthetic ingredient...
capryloyl glycine,Good, 'A synthetic amino acid derivative that function as a conditioning agent or...
caprylyl caprylate/caprate,Good,A synthetic ester blend of medium chain fatty acids and fatty alcohol that works as an emollient.
caprylyl glycol,Good,Skin and hair conditioning agent that may be plant-derived or synthetic. Often used as part of a...
caprylyl methicone,Good,
capsaicin,Poor,"Component of capsicum. When used topically, capsaicin can prevent the transmission of pain. It is..."
capsicum,Poor,"Large group of plants consisting primarily of the pepper family, including chili peppers and..."
capsicum oleoresin,Poor,Fatty resin derived from capsicum plants. It can be sensitizing to skin...
caramel,Good,Natural coloring agent.
carbomer,Good,Group of thickening agents used primarily to create gel-like formulations.
carbopol,Good,
carboxylic acid,Best,
cardamom,Poor,"Plant of the ginger family, used as fragrance in cosmetics. Terpene, one of its major constituents,..."
carmine,Good,Natural red color that comes from the dried female cochineal beetle. It is sometimes used to color...
carnauba wax,Good,"Natural, hard wax obtained from the leaves of palm trees. Used primarily as a thickening agent, but..."
carnitine,Best,Naturally occurring amino acid. Deficiencies of this small but essential component can result in...
carnosic acid,Best,Component of rosemary that is an antioxidant...
carnosine,Best,"Composed of amino acids, it has soothing and antioxidant properties..."
carnosol acid,Best,
carrageenan,Good,Seaweed gum used in cosmetics as a thickening agent with water-binding properties.
carrot oil,Best,Emollient plant oil similar to other nonfragrant plant oils.
Carthamus tinctorius oil,Best,
carvone,Poor,Essential oil used as a flavoring agent and fragrance component in cosmetics. It can be a...
Carya illinoensis oil,Good,
casein,Good,Substance derived from milk protein that may have some antioxidant properties when applied...
Castanea sativa seed extract,Good,
castor isostearate succinate,Good,"A mix of esters formed by the reaction of castor seed oil, isostearic acid, and succinic acid. This ingredient functions..."
castor oil,Good,"Vegetable oil derived from the castor bean. It is used in cosmetics as an emollient, though its..."
catalase,Best,Enzyme that decomposes hydrogen peroxide into water and oxygen and that has significant antioxidant...
Caulerpa taxifolia extract,Good,
cedarwood,Poor,Fragrant plant extract. There is evidence that cedarwood oil is sensitizing...
Cedrus atlantica bark extract,Poor,Fragrant oil that can aggravate skin...
cellulose,Good,Primary fiber component of plants. Used in cosmetics as a thickening agent and to bind other...
Cellulose gum,Good,Any of various fibrous substances derived from plants. Cellulose gum is a natural ingredient..
Centaurea cyanus,Best,
Centella asiatica,Best,"Extract of herb that may be listed on labels as asiatic acid, hydrocotyl, or gotu kola. It has..."
cephalin,Best,Phospholipid.
Cera alba,Good,See beeswax...
cera microcristallina,Good,
ceramide AP,Best,
ceramide EOP,Best,
ceramide EOS,Best,
ceramide NG,Best,
ceramide NP,Best,One of several types of ceramides.
ceramide NS,Best,
ceramides,Best,"Ceramides are naturally occurring, long chains of lipids (fats) that are major components of skin’s outer..."
ceresin,Good,"Derived from clay, ceresin is a waxy ingredient used as a thickening agent in cosmetics. It can be..."
ceteareth-20,Good,Fatty alcohol that is used to thicken cosmetics and keep ingredients mixed together and stable.
ceteareth-25,Good,A fatty alcohol that functions as an emulsifier and surfactant in cosmetics.
cetearyl alcohol,Good,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other..."
cetearyl ethylhexanoate,Good,Oil-like liquid that functions as an emollient to prevent skin from losing moisture. Also...
cetearyl glucoside,Good,A blend of cetearyl alcohol and glucose that functions as an emulsifier.
cetearyl octanoate,Good,
cetyl acetate,Good,A mixture of cetyl alcohol and acetic acid used as a skin-replenishing agent and emollient.
cetyl alcohol,Good,"Fatty alcohol used as an emollient, emulsifier, thickener, and carrying agent for other..."
cetyl dimethicone,Good,Silicone polymer that functions as skin-conditioning agent.
cetyl dimethicone copolyol,Good,
cetyl esters,Good,Synthetic wax used in cosmetics as a thickening agent and emollient.
cetyl hydroxyethylcellulose,Good,A mixture of cetyl alcohol and Hydroxyethylcellulose. It functions as thickener and stabilizing...
cetyl palmitate,Good,"The ester of cetyl palmitate and palmitic acid, this thickener and emollient helps smooth and condition dry skin while preventing moisture loss."
cetyl PEG/PPG-10/1-dimethicone,Good,Silicone that functions as a skin-conditioning agent and emulsifier.
chamomile,Best,"Ingredient derived from plant species Chamomilla recutita, Matricaria recutita, and Matricaria chamomilla..."
Chamomilla recutita flower extract,Best,
charcoal,Good,Primarily carbon substance formed by charring organic material in absence of oxygen. One...
charcoal powder,Good,Primarily carbon substance formed by charring organic material in absence of oxygen...
chelating agent,Good,"Any of numerous ingredients that bind with metal ions or metallic compounds, preventing them from..."
cherry extract,Average,"Also known as wild cherry and sweet cherry, this fruit is a natural source of vitamin C and..."
China clay,Good,
chitosan,Best,"Derived from chitin, a polysaccharide found in the exoskeletons of shrimp, lobster, and crabs. It..."
chlorella,Good,
chlorophene,Good,Used as a preservative in cosmetics.
chloroxylenol,Good,Chemical compound used as a preservative and cleansing agent due to its action...
chlorphenesin,Good,Type of alcohol used as a preservative in cosmetics...
cholecalciferol,Good,Technical name for vitamin D.
cholesterol,Best,"The surface of skin depends on the stratum corneum lipid matrix, which..."
choline,Best,"Part of the vitamin B complex and a constituent of many other biologically important molecules,..."
chondroitin sulfate,Best,
Chondrus crispus,Good,Form of red seaweed.
chromium hydroxide green,Good,Earth mineral used as a coloring agent/additive and permanently listed (as of 1977) by the FDA for...
chromium oxide green,Good,
chrysanthemum extract,Average,Can have soothing benefit for skin.
Chrysanthemum parthenium extract,Average,
Cichorium intybus,Good,"Source of a plant extract with antioxidant properties (Source: Archives of Pharmaceutical Research,..."
Cimicifuga racemosa root extract,Average,
Cinnamomum,Poor,
Cinnamomum camphora,Poor,
cinnamon,Poor,Can have antioxidant properties when applied to skin...
cinnamyl alcohol,Poor,A volatile fragrance ingredient that contains extracts from cinnamon and balsam of Peru...
citrate buffer,Good,Citrate buffer is a buffered mixture of sodium citrate and citric acid and is used in cosmetics as a pH adjuster.
citric acid,Good,Extract derived from citrus and used primarily to adjust the pH of products to prevent them from...
citronellol,Poor,"A volatile fragrance chemical extracted from geranium, rose, and other plants, citronellol has a characteristic grassy, citrus-like scent."
Citrullus colocynthis,Poor,Bitter apple; considered sensitizing to skin.
Citrus amara,Poor,
Citrus aurantifolia,Poor,
Citrus aurantium,Poor,
Citrus aurantium extract,Poor,Bitter orange extract. It can have antioxidant properties when eaten (Source: Journal of...
Citrus medica limonium,Poor,
Citrus unshiu,Average,Plant extract more commonly known as the satsuma. This medium-sized citrus fruit is native to...
Citrus unshiu peel extract,Average,
clary oil,Poor,Used as fragrance; can be a skin sensitizer.
clary sage,Good,"Also known as Salvia sclarea, the extract from the clary sage plant (not to be confused with common sage leaf) has antioxidant properties, although it isn’t nearly as well researched as several other plant extracts with antioxidant benefits..."
clay,Good,
clove leaf,Poor,
clove oil,Poor,Potent skin sensitizer when applied repeatedly...
clover blossom,Poor,"Contains eugenol, which can be a skin sensitizer and cause photosensitivity."
clover leaf oil,Poor,
cocamide DEA and MEA,Average,"Both cocamide DEA (diethanolamine) and MEA (monoethanolamine) are widely used ingredients to thicken the water phase of cosmetics, keep ingredients blended, and boost foaming properties..."
cocamidopropyl betaine,Good,One of the more gentle surfactants used in skincare products.
cocamidopropyl dimethylamine,Good,"An antistatic agent derived from coconut oil, though it may be produced synthetically, too..."
cocamidopropyl hydroxysultaine,Good,Mild surfactant.
cocoa butter,Best,"Oil extracted from cocoa beans, used as an emollient and with properties similar to those of other..."
cocoa extract,Best,Can have antioxidant properties...
coco-glucoside,Good,A mixture of fatty alcohol from coconut and glucose. Chiefly functions as a cleansing agent. May be...
cocoglycerides,Good,Used as an emollient and thickening agent in cosmetics.
coconut,Good,"Has degreasing and cleansing properties, which is why detergent cleansing agents are frequently..."
coconut oil,Best,Non-volatile plant kernel oil that has emollient properties for skin.
cocos nucifera (coconut) fruit extract,Best,"The extract of the fruit of the coconut tree, this ingredient is rich in skin-conditioning fatty acids, proteins, and complex B vitamins."
Cocus nucifera,Best,
Codium tomentosum extract,Good,
coenzyme Q10,Best,"Also known as ubiquinone, it is a vitamin-like, fat-soluble substance present in skin...."
